district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,君悦紫园 2室2厅 南,君悦紫园,高楼层,2013,2,2,90.79,130,14319
雨花,房东诚心出手 架空一楼 价格诚心 随时看房,绿荫家园,低楼层,2004,3,2,103.69,68.8,6636
雨花,三地铁，小区中间位置安静楼层好，产证在手,泊爱蓝湾,低楼层,2013,4,2,132.57,146,11014
雨花,金石雅苑 业主自住精装修 保养好看房方便,金石雅苑,高楼层,,3,2,130.01,142,10923
雨花,阳光城尚东湾 精装三房 户型周正 园林小区 采光好，,阳光城尚东湾,高楼层,,3,2,112.39,125,11122
雨花,王家冲路口 好楼层 南北对流 诚心出售 居家生活方便,茶园坡社区,中楼层,2007,2,1,69.3,45,6494
雨花,别墅区的高层视野开阔清水毛胚随时看房,佳兆业水岸新都东区,中楼层,,2,2,79.0,40,5064
雨花,此房满五唯一，涂家冲地铁口，业主诚心出售。,中远公馆,高楼层,2006,2,1,74.43,65,8734
雨花,兴隆景苑两梯四户清水两房两厅 满五唯一 中高楼层,兴隆景苑,高楼层,,2,2,78.15,68.8,8804
雨花,正地铁口的两房，朝南户型周正，急卖,锦湘国际星城三期,中楼层,2011,2,2,96.06,78,8120
雨花,凯乐湘园 3室2厅 南,凯乐湘园,中楼层,2008,3,2,136.51,137.87,10100
雨花,万科心悦里 +双卫+ 全天采光无遮挡 + 通透周正好户型,万科魅力之城,中楼层,2016,3,2,97.58,135,13835
雨花,东塘赤岗冲小户型好 采光好 楼层好 看房很方便,菁华源,中楼层,2008,2,1,56.97,54,9479
雨花,武广万科精装3房2卫，安静位置楼层采光好，省个税急售,万科魅力之城,低楼层,2016,3,2,97.29,135,13877
雨花,人车分流品质楼盘，业主自住保养很好，带入户花园,佳天瑞宁花园,高楼层,2008,2,2,84.93,87,10244
雨花,才子嘉都三期精装三居 业主诚心出售,才子嘉都三期,低楼层,,3,2,95.55,95,9943
雨花,长沙大道 次新小区 中间楼层 3室2卫 精装修 人车分流,阳光城尚东湾青云苑,中楼层,,3,2,107.22,130.5,12172
雨花,左家塘，市妇幼，枫树山，湘雅附二,中意花苑,中楼层,1997,2,2,96.34,68,7059
雨花,清水毛胚 钥匙在手 有车位 房东急卖,佳兆业水岸新都东区,中楼层,,3,2,88.36,54,6112
雨花,三期精装边户，全屋品牌家电家私，满五唯一，枫树山,中航城,高楼层,,3,2,96.08,110,11449
雨花,树木岭正地铁口 电梯三房 精装拎包可入住,工贸大厦,中楼层,,3,2,93.77,80,8532
雨花,配套设施齐全 三地铁 小三房 刚需,泊爱蓝湾,低楼层,2013,3,2,86.65,102,11772
雨花,"南北朝向双阳台，通风采光好,装修保养好",鑫天花园,高楼层,2007,2,2,110.19,71,6444
